[2024-08-22 09:33:11,065][basic_search][INFO][color_logger.py:203] Logfile: /gyc_data/fray_data/project_hw/logs_gray_clapboard_search/basic_search_2024-08-22-09-33-11-064885.log
[2024-08-22 09:33:11,068][basic_search][INFO][html_visualizer.py:462] Please open the html file to view visualization result: file:///gyc_data/fray_data/project_hw/logs_gray_clapboard_search/history/basic_search/basic_search_2024-08-22-09-33-11-066545.html
[2024-08-22 09:33:11,107][basic_search][INFO][generic_smbo.py:310] Iter 1, objectives: [3888814.0].
[2024-08-22 09:33:11,145][basic_search][INFO][generic_smbo.py:310] Iter 2, objectives: [3862820.0].
[2024-08-22 09:33:11,252][basic_search][INFO][generic_smbo.py:310] Iter 3, objectives: [4043627.0].
[2024-08-22 09:33:11,362][basic_search][INFO][generic_smbo.py:310] Iter 4, objectives: [4442526.0].
[2024-08-22 09:33:11,404][basic_search][INFO][generic_smbo.py:310] Iter 5, objectives: [4265457.0].
[2024-08-22 09:33:11,497][basic_search][INFO][generic_smbo.py:310] Iter 6, objectives: [3866482.0].
[2024-08-22 09:33:11,534][basic_search][INFO][generic_smbo.py:310] Iter 7, objectives: [3794319.0].
[2024-08-22 09:33:11,576][basic_search][INFO][generic_smbo.py:310] Iter 8, objectives: [4221930.0].
[2024-08-22 09:33:11,610][basic_search][INFO][generic_smbo.py:310] Iter 9, objectives: [3458626.0].
[2024-08-22 09:33:11,647][basic_search][INFO][generic_smbo.py:310] Iter 10, objectives: [3695766.0].
[2024-08-22 09:33:11,714][basic_search][INFO][generic_smbo.py:310] Iter 11, objectives: [3839346.0].
[2024-08-22 09:33:11,755][basic_search][INFO][generic_smbo.py:310] Iter 12, objectives: [4003022.0].
[2024-08-22 09:33:11,795][basic_search][INFO][generic_smbo.py:310] Iter 13, objectives: [3966629.0].
[2024-08-22 09:33:11,836][basic_search][INFO][generic_smbo.py:310] Iter 14, objectives: [4112338.0].
[2024-08-22 09:33:11,872][basic_search][INFO][generic_smbo.py:310] Iter 15, objectives: [3552453.0].
[2024-08-22 09:33:11,907][basic_search][INFO][generic_smbo.py:310] Iter 16, objectives: [3420564.0].
[2024-08-22 09:33:11,946][basic_search][INFO][generic_smbo.py:310] Iter 17, objectives: [3786998.0].
[2024-08-22 09:33:11,986][basic_search][INFO][generic_smbo.py:310] Iter 18, objectives: [3704729.0].
[2024-08-22 09:33:12,025][basic_search][INFO][generic_smbo.py:310] Iter 19, objectives: [3709359.0].
[2024-08-22 09:33:12,068][basic_search][INFO][generic_smbo.py:310] Iter 20, objectives: [4071036.0].
[2024-08-22 09:33:12,115][basic_search][INFO][generic_smbo.py:310] Iter 21, objectives: [4383559.0].
